sample_id,object_category,task,review_status,keep_sample,sample_issue_type,sample_notes
3danet_full_u3ac99406-67e2-41b5-a172-1b674c9aa2e8_open_pull,Dishwasher,open_pull,reject,no,ambiguous_object,
3danet_full_5afe31025e8574ea8d6e12c39b2d5023_open_pull,Bag,open_pull,reject,no,ambiguous_object,
3danet_full_d1a20d867c2b8f459cd6e2005048d293_pick_up,Faucet,pick_up,reject,no,task_mismatch,
3danet_full_d1a20d867c2b8f459cd6e2005048d293_lift_carry,Faucet,lift_carry,reject,no,task_mismatch,
3danet_full_19a3ce38f92f792376c18e71fd49c4dc_pick_up,Faucet,pick_up,reject,no,task_mismatch,
3danet_full_19a3ce38f92f792376c18e71fd49c4dc_lift_carry,Faucet,lift_carry,reject,no,task_mismatch,
3danet_full_dc4e9bf3eaadf2544c62bee40dcdc539_open_pull,StorageFurniture,open_pull,reject,no,ambiguous_object,
3danet_full_bbc685f481cee10f668ae11a7db5e82a_pick_up,Table,pick_up,reject,no,task_mismatch,
3danet_full_bbc685f481cee10f668ae11a7db5e82a_lift_carry,Table,lift_carry,reject,no,task_mismatch,
3danet_full_7937479e527b07dd19fb4103277a6b93_pick_up,Table,pick_up,reject,no,task_mismatch,
3danet_full_babeae78f6d2412a15dd7d7985e749c1_pick_up,Bed,pick_up,reject,no,task_mismatch,
3danet_full_babeae78f6d2412a15dd7d7985e749c1_lift_carry,Bed,lift_carry,reject,no,task_mismatch,
3danet_full_447c50e658d729f044ededc21cf0e35e_pick_up,Bed,pick_up,reject,no,task_mismatch,
3danet_full_447c50e658d729f044ededc21cf0e35e_lift_carry,Bed,lift_carry,reject,no,task_mismatch,
3danet_full_200b3f3d859c8677ad5067eac75a07f7_open_pull,TrashCan,open_pull,reject,no,task_mismatch,
3danet_full_c2d6739b7d2b6cadad5067eac75a07f7_open_pull,TrashCan,open_pull,reject,no,task_mismatch,
