sample_id,object_category,task,executor,decision,issue_type,notes,point_cloud_path,source_mask_path
3danet_full_23d8f4bc9f6ef1e79ba80f08c401fbed_open_pull,Door,open_pull,suction,refine,over_label,区域过大，覆盖了整个门板，需要调整,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_23d8f4bc9f6ef1e79ba80f08c401fbed.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_23d8f4bc9f6ef1e79ba80f08c401fbed_open_pull.npy
3danet_full_23d8f4bc9f6ef1e79ba80f08c401fbed_press_push,Door,press_push,suction,refine,wrong_region,应该标注整个门板，而不是把门板的边缘位置也进行标注，那部分不能用于press,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_23d8f4bc9f6ef1e79ba80f08c401fbed.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_23d8f4bc9f6ef1e79ba80f08c401fbed_press_push.npy
3danet_full_23d8f4bc9f6ef1e79ba80f08c401fbed_press_push,Door,press_push,dexterous_hand,refine,missing_positive,门板和把手区域都可以使用dexterous_hand进行press操作，但是门板边缘不行,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_23d8f4bc9f6ef1e79ba80f08c401fbed.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_23d8f4bc9f6ef1e79ba80f08c401fbed_press_push.npy
3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_open_pull,Door,open_pull,suction,refine,over_label,把手区域不应该被标注，无法使用suction；并且不应该标注整个门板区域，区域过大,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_open_pull.npy
3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_press_push,Door,press_push,gripper,add_missing,missing_positive,对门进行press_pull操作，可以使用门把手进行推操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_press_push.npy
3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_press_push,Door,press_push,suction,refine,over_label,门把手部分不能被suction所使用，并且对于门板区域标注过大,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_press_push.npy
3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_press_push,Door,press_push,dexterous_hand,refine,missing_positive,对门进行press_pull操作，可以使用门把手进行推操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_press_push.npy
3danet_full_ba66302db9cfa0147286af1ad775d13a_open_pull,Dishwasher,open_pull,gripper,refine,over_label,应只有把手的部分可以进行open，正面的平面区域无法使用gripper,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_ba66302db9cfa0147286af1ad775d13a.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_ba66302db9cfa0147286af1ad775d13a_open_pull.npy
3danet_full_ba66302db9cfa0147286af1ad775d13a_open_pull,Dishwasher,open_pull,suction,add_missing,missing_positive,正面有把手的平面区域可以用suction进行open操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_ba66302db9cfa0147286af1ad775d13a.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_ba66302db9cfa0147286af1ad775d13a_open_pull.npy
3danet_full_ba66302db9cfa0147286af1ad775d13a_open_pull,Dishwasher,open_pull,hook,refine,needs_geometry_rule,把手部分需要验证是否存在孔洞区域能让hook进行操作，是否为有孔把手,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_ba66302db9cfa0147286af1ad775d13a.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_ba66302db9cfa0147286af1ad775d13a_open_pull.npy
3danet_full_ba66302db9cfa0147286af1ad775d13a_open_pull,Dishwasher,open_pull,dexterous_hand,refine,over_label,应只有把手的部分可以进行open，正面的平面区域无法使用dexterous_hand,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_ba66302db9cfa0147286af1ad775d13a.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_ba66302db9cfa0147286af1ad775d13a_open_pull.npy
3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54_pick_up,Earphone,pick_up,gripper,refine,wrong_region,耳机的耳麦部分不应该被当做可以pick_up的区域,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54_pick_up.npy
3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54_pick_up,Earphone,pick_up,hook,add_missing,missing_positive,耳机的头部连接区域应该是hook可以勾起来的区域,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54_pick_up.npy
3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54_pick_up,Earphone,pick_up,dexterous_hand,refine,wrong_region,耳机的耳麦部分不应该是可以pick_up的区域,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54_pick_up.npy
3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54_lift_carry,Earphone,lift_carry,gripper,refine,wrong_region,耳机的耳麦部分不能被gripper用来进行lift_carry操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54_lift_carry.npy
3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54_lift_carry,Earphone,lift_carry,hook,add_missing,missing_positive,耳机的头梁区域有区域可以被hook用来勾起，进行lift_carry的操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54_lift_carry.npy
3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54_lift_carry,Earphone,lift_carry,dexterous_hand,refine,wrong_region,耳机的耳麦部分不能被dexterous_hand用来进行lift_carry操作,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54_lift_carry.npy
3danet_full_6bf1559769018cbb354b166143712fb3_pick_up,Earphone,pick_up,gripper,refine,wrong_region,耳机的耳包部分不应该是可以被gripper的区域，耳机的头梁部分比较准确,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6bf1559769018cbb354b166143712fb3.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6bf1559769018cbb354b166143712fb3_pick_up.npy
