sample_id,object_id,object_category,task,visualization_html_path,point_cloud_path,multi_channel_mask_path,review_status,keep_sample,quality_after_review,sample_issue_type,sample_notes,gripper_decision,gripper_issue_type,gripper_notes,suction_decision,suction_issue_type,suction_notes,hook_decision,hook_issue_type,hook_notes,dexterous_hand_decision,dexterous_hand_issue_type,dexterous_hand_notes
3danet_full_23d8f4bc9f6ef1e79ba80f08c401fbed_open_pull,3danet_full_23d8f4bc9f6ef1e79ba80f08c401fbed,Door,open_pull,processed/visualizations/html_v3/3danet_full_23d8f4bc9f6ef1e79ba80f08c401fbed_open_pull.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_23d8f4bc9f6ef1e79ba80f08c401fbed.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_23d8f4bc9f6ef1e79ba80f08c401fbed_open_pull.npy,needs_fix,yes,weak,none,suction面积过大，远离把手侧并不会通过suction将门打开,keep,none,,refine,over_label,区域过大，覆盖了整个门板，需要调整,keep,none,,keep,none,
3danet_full_23d8f4bc9f6ef1e79ba80f08c401fbed_press_push,3danet_full_23d8f4bc9f6ef1e79ba80f08c401fbed,Door,press_push,processed/visualizations/html_v3/3danet_full_23d8f4bc9f6ef1e79ba80f08c401fbed_press_push.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_23d8f4bc9f6ef1e79ba80f08c401fbed.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_23d8f4bc9f6ef1e79ba80f08c401fbed_press_push.npy,needs_fix,yes,checked,none,dexterous_hand应该可以对门板进行press操作,keep,none,,refine,wrong_region,应该标注整个门板，而不是把门板的边缘位置也进行标注，那部分不能用于press,,,,refine,missing_positive,门板和把手区域都可以使用dexterous_hand进行press操作，但是门板边缘不行
3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_open_pull,3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e,Door,open_pull,processed/visualizations/html_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_open_pull.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_open_pull.npy,needs_fix,yes,weak,none,,keep,none,,refine,over_label,把手区域不应该被标注，无法使用suction；并且不应该标注整个门板区域，区域过大,keep,none,,keep,none,
3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_press_push,3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e,Door,press_push,processed/visualizations/html_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_press_push.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6fa3be2ac3e1cc7c2962d6cb797bc52e_press_push.npy,needs_fix,yes,weak,none,,add_missing,missing_positive,对门进行press_pull操作，可以使用门把手进行推操作,refine,over_label,门把手部分不能被suction所使用，并且对于门板区域标注过大,keep,none,,refine,missing_positive,对门进行press_pull操作，可以使用门把手进行推操作
3danet_full_u3ac99406-67e2-41b5-a172-1b674c9aa2e8_open_pull,3danet_full_u3ac99406-67e2-41b5-a172-1b674c9aa2e8,Dishwasher,open_pull,processed/visualizations/html_v3/3danet_full_u3ac99406-67e2-41b5-a172-1b674c9aa2e8_open_pull.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_u3ac99406-67e2-41b5-a172-1b674c9aa2e8.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_u3ac99406-67e2-41b5-a172-1b674c9aa2e8_open_pull.npy,reject,no,weak,ambiguous_object,,,,,,,,,,,,,
3danet_full_ba66302db9cfa0147286af1ad775d13a_open_pull,3danet_full_ba66302db9cfa0147286af1ad775d13a,Dishwasher,open_pull,processed/visualizations/html_v3/3danet_full_ba66302db9cfa0147286af1ad775d13a_open_pull.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_ba66302db9cfa0147286af1ad775d13a.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_ba66302db9cfa0147286af1ad775d13a_open_pull.npy,needs_fix,yes,weak,none,,refine,over_label,应只有把手的部分可以进行open，正面的平面区域无法使用gripper,add_missing,missing_positive,正面有把手的平面区域可以用suction进行open操作,refine,needs_geometry_rule,把手部分需要验证是否存在孔洞区域能让hook进行操作，是否为有孔把手,refine,over_label,应只有把手的部分可以进行open，正面的平面区域无法使用dexterous_hand
3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54_pick_up,3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54,Earphone,pick_up,processed/visualizations/html_v3/3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54_pick_up.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54_pick_up.npy,needs_fix,yes,weak,none,,refine,wrong_region,耳机的耳麦部分不应该被当做可以pick_up的区域,keep,none,,add_missing,missing_positive,耳机的头部连接区域应该是hook可以勾起来的区域,refine,wrong_region,耳机的耳麦部分不应该是可以pick_up的区域
3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54_lift_carry,3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54,Earphone,lift_carry,processed/visualizations/html_v3/3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54_lift_carry.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_5d089ccd-98db-4fb0-9e1a-9a5650390e54_lift_carry.npy,needs_fix,yes,weak,none,,refine,wrong_region,耳机的耳麦部分不能被gripper用来进行lift_carry操作,keep,none,,add_missing,missing_positive,耳机的头梁区域有区域可以被hook用来勾起，进行lift_carry的操作,refine,wrong_region,耳机的耳麦部分不能被dexterous_hand用来进行lift_carry操作
3danet_full_6bf1559769018cbb354b166143712fb3_pick_up,3danet_full_6bf1559769018cbb354b166143712fb3,Earphone,pick_up,processed/visualizations/html_v3/3danet_full_6bf1559769018cbb354b166143712fb3_pick_up.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6bf1559769018cbb354b166143712fb3.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6bf1559769018cbb354b166143712fb3_pick_up.npy,needs_fix,yes,weak,none,,refine,wrong_region,耳机的耳包部分不应该是可以被gripper的区域，耳机的头梁部分比较准确,keep,none,,add_missing,missing_positive,耳机头梁部分可以通过hook进行勾起操作,keep,none,
3danet_full_6bf1559769018cbb354b166143712fb3_lift_carry,3danet_full_6bf1559769018cbb354b166143712fb3,Earphone,lift_carry,processed/visualizations/html_v3/3danet_full_6bf1559769018cbb354b166143712fb3_lift_carry.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6bf1559769018cbb354b166143712fb3.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_6bf1559769018cbb354b166143712fb3_lift_carry.npy,needs_fix,yes,weak,none,,refine,wrong_region,耳麦部分不能使用gripper进行lift操作，夹不住,keep,none,,add_missing,missing_positive,耳机的耳麦的弯曲部分能使用hook进行勾起操作,keep,none,
3danet_full_edb8e199485be4e968747a7f12307bdb_pick_up,3danet_full_edb8e199485be4e968747a7f12307bdb,Vase,pick_up,processed/visualizations/html_v3/3danet_full_edb8e199485be4e968747a7f12307bdb_pick_up.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_edb8e199485be4e968747a7f12307bdb.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_edb8e199485be4e968747a7f12307bdb_pick_up.npy,needs_fix,yes,weak,none,,keep,none,,add_missing,missing_positive,vase的盖子平面部分是可以suction进行 吸附pickup的,keep,none,,keep,none,
3danet_full_edb8e199485be4e968747a7f12307bdb_lift_carry,3danet_full_edb8e199485be4e968747a7f12307bdb,Vase,lift_carry,processed/visualizations/html_v3/3danet_full_edb8e199485be4e968747a7f12307bdb_lift_carry.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_edb8e199485be4e968747a7f12307bdb.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_edb8e199485be4e968747a7f12307bdb_lift_carry.npy,needs_fix,yes,weak,none,,refine,under_label,vase的盖子部分也能使用gripper进行lift_carry的操作，区域标注少了,add_missing,missing_positive,vase的盖子大平面部分能通过suction进行lift_carry的操作，盖子有大平面部分，suction能吸住平整面区域,keep,none,,refine,under_label,vase的盖子部分也能使用dexterous_hand进行lift_carry的操作，区域标注少了
3danet_full_3ef87a241213eb129f30f02514717f00_pick_up,3danet_full_3ef87a241213eb129f30f02514717f00,Knife,pick_up,processed/visualizations/html_v3/3danet_full_3ef87a241213eb129f30f02514717f00_pick_up.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_3ef87a241213eb129f30f02514717f00.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_3ef87a241213eb129f30f02514717f00_pick_up.npy,checked,yes,verified,none,,keep,none,,keep,none,,keep,none,,keep,none,
3danet_full_3ef87a241213eb129f30f02514717f00_lift_carry,3danet_full_3ef87a241213eb129f30f02514717f00,Knife,lift_carry,processed/visualizations/html_v3/3danet_full_3ef87a241213eb129f30f02514717f00_lift_carry.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_3ef87a241213eb129f30f02514717f00.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_3ef87a241213eb129f30f02514717f00_lift_carry.npy,checked,yes,checked,none,,keep,none,,keep,none,,keep,none,,keep,none,
